<<<<<<< HEAD
#,编号,名称,卡牌颜色,类别,稀有度,蓝,红,卡牌效果
,F-C-026,F-C-026,红,生物/弗尔/,黄晶,6,6,衰退（1）或协同（1）
,F-C-027,F-C-027,红,生物/弗尔/,黄晶,7,7,衰退（1）
,F-C-028,F-C-028,红,生物/弗尔/,黄晶,8,8,衰退（2）
,F-C-029,F-C-029,红,生物/德谟/,黄晶,9,9,消耗[*]才可压制打出
,F-C-030,F-C-030,红,生物/德谟/,黄晶,10,10,消耗[*]才可压制打出
,F-C-031,F-C-031,红,生物/伊奎/,黄晶,1,1,增援（2）
,F-C-032,F-C-032,红,生物/伊奎/,黄晶,2,2,增援（1）
,F-C-033,F-C-033,红,生物/伊奎/,黄晶,3,3,压制：增援（1）
,F-C-034,F-C-034,红,生物/伊奎/,黄晶,4,4,压制：增援（1）
,F-C-035,F-C-035,红,生物/伊奎/,黄晶,5,5,跟随：增援（1）
,F-C-036,F-C-036,红,生物/弗尔/,黄晶,6,6,交流：增援（1）
,F-C-037,F-C-037,红,生物/弗尔/,黄晶,7,7,冲动：增援（1），否则衰退（1）
,F-C-038,F-C-038,红,生物/弗尔/,黄晶,8,8,冲动：增援（1），否则衰退（2）
,F-C-039,F-C-039,红,生物/德谟/,黄晶,9,9,冲动：可以打出，否则无法压制打出
,F-C-040,F-C-040,红,生物/德谟/,黄晶,10,10,冲动：可以打出，否则无法压制打出
,F-C-041,F-C-041,红,生物/伊奎/,蓝钢,2,1,堆叠中每有一张牌，压制打出计算时点数+1。
,F-C-042,F-C-042,红,生物/伊奎/,蓝钢,3,2,不可被跟随
,F-C-043,F-C-043,红,生物/伊奎/,蓝钢,4,3,追求：观察目标牌手手牌
,F-C-044,F-C-044,红,生物/伊奎/,蓝钢,5,4,冲动：弃掉一张牌，抓一张牌。
,F-C-045,F-C-045,红,生物/伊奎/,蓝钢,6,5,冲动：摧毁目标设施
,F-C-046,F-C-046,红,生物/弗尔/,蓝钢,6,6,不可被跟随
,F-C-047,F-C-047,红,生物/弗尔/,蓝钢,7,7,除非追求，否则衰退（1）
,F-C-048,F-C-048,红,生物/弗尔/,蓝钢,8,8,除非追求，否则衰退（2）
,F-C-049,F-C-049,红,生物/德谟/,蓝钢,9,9,仅你有5点以上资源点数时可以打出
,F-C-050,F-C-050,红,生物/德谟/,蓝钢,10,10,仅你有5点以上资源点数时可以打出
,F-C-051,F-C-051,红,生物/伊奎/,蓝钢,1,3,无
,F-C-052,F-C-052,红,生物/伊奎/,蓝钢,2,4,无
,F-C-053,F-C-053,红,生物/伊奎/,蓝钢,3,5,无
,F-C-054,F-C-054,红,生物/伊奎/,蓝钢,4,6,无
,F-C-055,F-C-055,红,生物/伊奎/,蓝钢,5,7,「红」：衰退（1）
,F-C-056,F-C-056,红,生物/弗尔/,蓝钢,6,8,「红」：衰退（2）
,F-C-057,F-C-057,红,生物/弗尔/,蓝钢,7,7,展示一张手牌才可压制打出
,F-C-058,F-C-058,红,生物/弗尔/,蓝钢,8,8,展示一张手牌才可压制打出
,F-C-059,F-C-059,红,生物/德谟/,蓝钢,9,9,不可压制打出，或协同（0）
,F-C-060,F-C-060,红,生物/德谟/,蓝钢,10,10,不可压制打出，或协同（0）
,F-C-061,F-C-061,红,生物/伊奎/,紫玉,2,1,压制：摧毁目标设施，抓一张牌。
,F-C-062,F-C-062,红,生物/伊奎/,紫玉,3,2,冲动：交换对手与你的一张手牌
,F-C-063,F-C-063,红,生物/伊奎/,紫玉,4,3,交流：弃置至多两张牌，再抓等量的牌。
,F-C-064,F-C-064,红,生物/伊奎/,紫玉,5,4,冲动:本轮对抗所有牌手都不能获得资源牌。
,F-C-065,F-C-065,红,生物/伊奎/,紫玉,6,5,[*]:弃掉所有手牌。
,F-C-066,F-C-066,红,生物/弗尔/,紫玉,7,6,若你有设施牌，则弃掉所有的手牌。
,F-C-067,F-C-067,红,生物/弗尔/,紫玉,7,7,除非堆叠中的牌少于3张，否则衰退（1）
,F-C-068,F-C-068,红,生物/弗尔/,紫玉,8,8,除非堆叠中的牌少于3张，否则衰退（2）
,F-C-069,F-C-069,红,生物/德谟/,紫玉,9,9,仅当所有资源区中没有资源牌可以打出
,F-C-070,F-C-070,红,生物/德谟/,紫玉,10,10,仅当所有资源区中没有资源牌可以打出
,F-C-071,F-C-071,红,生物/伊奎/,紫玉,2,1,压制：搜寻牌堆中一张牌加入手牌。
,F-C-072,F-C-072,红,生物/伊奎/,紫玉,4,2,「红」压制：输掉本轮对抗，将堆叠中的一张资源放入资源区。
,F-C-073,F-C-073,红,生物/伊奎/,紫玉,5,3,「红」压制：输掉本轮对抗，弃掉所有手牌。
,F-C-074,F-C-074,红,生物/伊奎/,紫玉,6,4,「红」压制：将手牌中的一张设施牌放入你的设施区。
,F-C-075,F-C-075,红,生物/伊奎/,紫玉,5,5,「红」暗算：被压制时翻开，将堆叠顶的牌放入弃牌堆。
,F-C-076,F-C-076,红,生物/弗尔/,紫玉,1,6,无
,F-C-077,F-C-077,红,生物/弗尔/,紫玉,7,7,衰退（1），压制：将堆叠中红色点数最小的牌加入你的手牌
,F-C-078,F-C-078,红,生物/弗尔/,紫玉,8,8,衰退（2），压制：将堆叠中红色点数最小的牌加入你的手牌
,F-C-079,F-C-079,红,生物/德谟/,紫玉,9,9,堆叠顶点数小于5，才可以打出
,F-C-080,F-C-080,红,生物/德谟/,紫玉,10,10,堆叠顶点数小于5，才可以打出
,F-C-081,F-C-081,红,生物/伊奎/英雄,紫玉,0,0,压制一切。
,F-C-082,F-C-082,红,生物/弗尔/英雄,紫玉,0,0,压制一切。
,F-C-083,F-C-083,红,生物/弗尔/英雄,紫玉,0,0,压制一切。
,F-B-001,F-B-001,红,设施,蓝钢,1,1,「红」堆叠中：打扫战场时建造；设施区：你的主动回合开始时，可以抓一张牌然后弃一张牌。
,F-B-002,F-B-002,红,设施,蓝钢,1,1,「红」堆叠中：打扫战场时建造；设施区：你的手牌在压制打出计算时点数+1。
,F-B-003,F-B-003,红,设施,蓝钢,2,2,「红」堆叠中：打扫战场时建造；设施区：你的手牌均具有协同（0）且协同打出时协同牌无效果。
,F-B-004,F-B-004,红,设施,蓝钢,2,2,「红」堆叠中：对抗结束时建造；设施区：在每轮对抗摸牌阶段结束后你可以搜寻弃牌堆中的一张牌展示后加入手牌。
,F-B-005,F-B-005,红,设施,蓝钢,3,3,「红」堆叠中：快速建造；设施区:你随时可以消耗[*]，获得两点临时资源。
,F-B-006,F-B-006,红,设施,蓝钢,3,3,「红」堆叠中：快速建造；设施区：在每轮对抗打扫战场步骤，你可以将堆叠底的牌加入手牌。
,F-B-007,F-B-007,红,设施,蓝钢,4,4,「红」堆叠中：跟随时建造。设施区：[*]:本局游戏中摸牌上限+1。
,F-B-008,F-B-008,红,设施,蓝钢,4,4,「红」堆叠中：跟随时建造。设施区：你的被协同牌无协同张数限制。
,F-B-009,F-B-009,红,设施,蓝钢,5,5,「红」堆叠中：消耗[*]建造。设施区：每当你消耗资源时，你可以将堆叠中所有牌放入弃牌堆。
,F-B-010,F-B-010,红,设施,蓝钢,5,5,「红」堆叠中：消耗[*]建造。设施区：每当你压制出牌时，抓一张牌。
,F-C-084,F-C-084,蓝,生物,翠石,1,1,无
,F-C-085,F-C-085,蓝,生物,翠石,2,2,无
,F-C-086,F-C-086,蓝,生物,翠石,3,3,无
,F-C-087,F-C-087,蓝,生物,翠石,4,4,无
,F-C-088,F-C-088,蓝,生物,翠石,5,5,无
,F-C-089,F-C-089,蓝,生物,翠石,6,6,无
,F-C-090,F-C-090,蓝,生物,翠石,7,7,仅同点压制才可打出
,F-C-091,F-C-091,蓝,生物,翠石,8,8,仅同点压制才可打出
,F-C-092,F-C-092,蓝,生物,翠石,9,9,不可压制打出
,F-C-093,F-C-093,蓝,生物,翠石,10,10,不可压制打出
,F-C-094,F-C-094,蓝,生物,翠石,1,0,无
,F-C-095,F-C-095,蓝,生物,翠石,2,1,无
,F-C-096,F-C-096,蓝,生物,翠石,3,2,无
,F-C-097,F-C-097,蓝,生物,翠石,4,3,无
,F-C-098,F-C-098,蓝,生物,翠石,5,4,无
,F-C-099,F-C-099,蓝,生物,翠石,6,5,无
,F-C-100,F-C-100,蓝,生物,翠石,7,6,仅同点压制才可打出
,F-C-101,F-C-101,蓝,生物,翠石,8,7,仅同点压制才可打出
,F-C-102,F-C-102,蓝,生物,翠石,9,8,不可压制打出
,F-C-103,F-C-103,蓝,生物,翠石,10,9,不可压制打出
,F-C-104,F-C-104,蓝,生物,黄晶,0,1,增幅（1）
,F-C-105,F-C-105,蓝,生物,黄晶,1,2,增幅（1）
,F-C-106,F-C-106,蓝,生物,黄晶,2,3,压制：展示目标牌手一张手牌
,F-C-107,F-C-107,蓝,生物,黄晶,3,4,压制：展示目标牌手一张手牌
,F-C-108,F-C-108,蓝,生物,黄晶,4,5,追求：展示目标牌手至多两张手牌
,F-C-109,F-C-109,蓝,生物,黄晶,5,6,交流：不可被跟随。
,F-C-110,F-C-110,蓝,生物,黄晶,6,7,除非被展示，否则仅同点压制打出。
,F-C-111,F-C-111,蓝,生物,黄晶,7,8,除非被展示，否则仅同点压制打出。
,F-C-112,F-C-112,蓝,生物,黄晶,8,9,仅在堆叠中无资源牌时可以打出。
,F-C-113,F-C-113,蓝,生物,黄晶,9,10,仅在堆叠中无资源牌时可以打出。
,F-C-114,F-C-114,蓝,生物,黄晶,1,1,压制：抓两张牌
,F-C-115,F-C-115,蓝,生物,黄晶,2,2,压制：弃一张牌
,F-C-116,F-C-116,蓝,生物,黄晶,3,3,追求：不可被跟随
,F-C-117,F-C-117,蓝,生物,黄晶,4,4,追求：增幅（1）
,F-C-118,F-C-118,蓝,生物,黄晶,5,5,交流：你和目标牌手抓两张牌。
,F-C-119,F-C-119,蓝,生物,黄晶,6,6,跟随：你和目标牌手随机弃掉一张手牌。
,F-C-120,F-C-120,蓝,生物,黄晶,7,7,若堆叠中没有增幅效果的牌，可以打出。
,F-C-121,F-C-121,蓝,生物,黄晶,8,8,若堆叠中没有增幅效果的牌，可以打出。
,F-C-122,F-C-122,蓝,生物,黄晶,9,9,仅当堆叠有大于等于10张牌时可以打出
,F-C-123,F-C-123,蓝,生物,黄晶,10,10,仅当堆叠有大于等于10张牌时可以打出
,F-C-124,F-C-124,蓝,生物,蓝钢,1,1,压制：交换此牌与一张手牌。
,F-C-125,F-C-125,蓝,生物,蓝钢,2,2,压制：选择目标一张被展示的手牌，将其放入弃牌堆。
,F-C-126,F-C-126,蓝,生物,蓝钢,3,3,压制：搜寻牌堆中一张设施牌加入手牌。
,F-C-127,F-C-127,蓝,生物,蓝钢,4,4,交流：增幅（1）
,F-C-128,F-C-128,蓝,生物,蓝钢,5,5,追求：目标牌手下一轮对抗摸牌上限-1
,F-C-129,F-C-129,蓝,生物,蓝钢,6,6,「蓝」冲动：获得目标设施的操控权，将其放入自己的设施区。
,F-C-130,F-C-130,蓝,生物,蓝钢,7,7,除非交流，否则衰退（1）
,F-C-131,F-C-131,蓝,生物,蓝钢,8,8,除非交流，否则衰退（2）
,F-C-132,F-C-132,蓝,生物,蓝钢,9,9,仅当你拥有两个以上设施时可以打出
,F-C-133,F-C-133,蓝,生物,蓝钢,10,10,仅当你拥有两个以上设施时可以打出
,F-C-134,F-C-134,蓝,生物,蓝钢,3,1,无
,F-C-135,F-C-135,蓝,生物,蓝钢,4,2,无
,F-C-136,F-C-136,蓝,生物,蓝钢,5,3,无
,F-C-137,F-C-137,蓝,生物,蓝钢,6,4,无
,F-C-138,F-C-138,蓝,生物,蓝钢,7,4,「蓝」：衰退（1）
,F-C-139,F-C-139,蓝,生物,蓝钢,7,7,除非你有设施，否则衰退（1）
,F-C-140,F-C-140,蓝,生物,蓝钢,8,8,除非你有设施，否则衰退（2）
,F-C-141,F-C-141,蓝,生物,蓝钢,9,9,仅当有牌手所有手牌被展示时可以打出
,F-C-142,F-C-142,蓝,生物,蓝钢,10,10,仅当有牌手所有手牌被展示时可以打出
,F-C-143,F-C-143,蓝,生物,蓝钢,？,？,此牌点数为你拥有的资源点数
,F-C-144,F-C-144,蓝,生物,紫玉,1,3,「蓝」压制：摧毁所有设施。
,F-C-145,F-C-145,蓝,生物,紫玉,2,3,压制：抓两张牌，然后弃掉一张手牌。
,F-C-146,F-C-146,蓝,生物,紫玉,3,3,「蓝」压制：在牌堆中搜寻一张设施牌加入手牌。
,F-C-147,F-C-147,蓝,生物,紫玉,4,5,「红」：衰退（1）；「蓝」：增幅（1）
,F-C-148,F-C-148,蓝,生物,紫玉,？,？,压制计算时，点数为堆叠顶点数。堆叠中：点数为紧邻的下一张牌的点数。
,F-C-149,F-C-149,蓝,生物,紫玉,6,6,「蓝」暗算：被压制时翻开，抵消下一张牌的效果，结算后与那张牌一起进入弃牌堆。
,F-C-150,F-C-150,蓝,生物,紫玉,7,7,压制计算后，堆叠洗牌
,F-C-151,F-C-151,蓝,生物,紫玉,8,8,压制计算后，堆叠洗牌
,F-C-152,F-C-152,蓝,生物,紫玉,9,9,压制计算后进入堆叠底而不是堆叠顶。
,F-C-153,F-C-153,蓝,生物,紫玉,10,10,压制计算后进入堆叠底而不是堆叠顶。
,F-C-154,F-C-154,蓝,生物,紫玉,1,1,「蓝」堆叠中：对抗打扫战场步骤，进入目标牌手手牌。
,F-C-155,F-C-155,蓝,生物,紫玉,2,2,不参与混洗，在第一轮对抗开始时进入先手牌手手牌。
,F-C-156,F-C-156,蓝,生物,紫玉,3,8,「红」压制：本轮对抗不能获得资源
,F-C-157,F-C-157,蓝,生物,紫玉,1,3,堆叠中：堆叠中每有一张牌，此牌蓝色点数+2。
,F-C-158,F-C-158,蓝,生物,紫玉,4,4,压制：目标牌手展示所有手牌。
,F-C-159,F-C-159,蓝,生物,紫玉,5,6,交流：你可以将任意数量的手牌与目标被展示的手牌交换
,F-C-160,F-C-160,蓝,生物,紫玉,6,7,冲动：指定目标牌手的资源区，双方弃置资源区的资源牌直到资源区点数相同。
,F-C-161,F-C-161,蓝,生物,紫玉,8,8,除非有手牌被展示，否则仅冲动可以打出。
,F-C-162,F-C-162,蓝,生物,紫玉,9,9,堆叠中：对抗打扫战场步骤，进入目标牌手手牌。
,F-C-163,F-C-163,蓝,生物,紫玉,10,10,堆叠中：对抗打扫战场步骤，进入目标牌手手牌。
,F-C-164,F-C-164,蓝,生物/英雄,紫玉,0,0,压制一切。
,F-C-165,F-C-165,蓝,生物/英雄,紫玉,0,0,压制一切。
,F-C-166,F-C-166,蓝,生物/英雄,紫玉,0,0,压制一切。
,F-B-011,F-B-011,蓝,设施,蓝钢,1,1,「蓝」堆叠中：打扫战场时建造。设施区：你操控的堆叠顶牌均无法被跟随。
,F-B-012,F-B-012,蓝,设施,蓝钢,1,1,「蓝」堆叠中：打扫战场时建造。设施区：你在压制出牌后，可以将堆叠中的一张牌放入弃牌堆。
,F-B-013,F-B-013,蓝,设施,蓝钢,2,2,「蓝」堆叠中：打扫战场时建造。设施区：每场对抗开始时，你可以随机展示目标牌手一张手牌。
,F-B-014,F-B-014,蓝,设施,蓝钢,2,2,「蓝」堆叠中：打扫战场时建造。设施区：打扫战场时，若本轮对抗获得资源牌，你可以在堆叠中搜寻一张牌加入手牌。
,F-B-015,F-B-015,蓝,设施,蓝钢,3,3,「蓝」堆叠中：快速建造。设施区：在你压制打出一张牌后，你可以令目标牌手弃掉一张手牌，然后抓一张牌。
,F-B-016,F-B-016,蓝,设施,蓝钢,3,3,「蓝」堆叠中：快速建造。设施区：你的所有资源牌均具有增幅（1）。
,F-B-017,F-B-017,蓝,设施,蓝钢,4,4,「蓝」堆叠中：弃置所有手牌建造。设施区：[*]：返回手牌
,F-B-018,F-B-018,蓝,设施,蓝钢,4,4,「蓝」堆叠中：消耗[*]建造。设施区：每当你压制打出增幅牌，你可以将一张手牌与堆叠中的一张牌交换。
,F-B-019,F-B-019,蓝,设施,蓝钢,5,5,「蓝」堆叠中：追求时建造。设施区：每当你压制出牌，将堆叠洗牌。
=======
#,编号,名称,卡牌颜色,类别,稀有度,蓝,红,卡牌效果
,F-R-001,翠石,无,基本资源,翠石,1,1,资源（1）
,F-R-002,黄晶,无,基本资源,翠石,2,2,资源（1）
,F-R-003,蓝钢,无,基本资源,翠石,3,3,资源（1）
,F-R-004,紫玉,无,基本资源,翠石,4,4,资源（1）
,F-R-005,黑磺石,红,资源,黄晶,1,1,临时资源（2）
,F-R-006,青晶石,红,资源,黄晶,2,2,临时资源（2）
,F-R-007,硫磺,红,资源,黄晶,3,3,临时资源（2）
,F-R-008,红水晶,红,资源,黄晶,4,4,临时资源（2）
,F-R-009,天然气,红,资源,蓝钢,1,1,资源（1）；被消耗时，你可以弃一张牌
,F-R-010,可燃冰,红,资源,蓝钢,2,2,资源（1）；被消耗时，抽一张牌。
,F-R-011,煤,红,资源,紫玉,3,2,资源（1）；位于资源区时，可以当作手牌再次压制打出。
,F-R-012,原油,红,资源,紫玉,4,3,位于蓝色牌手资源区：资源（1），临时资源（1）。位于红色牌手资源区：资源（2）。
,F-R-013,光伏电池,蓝,资源,黄晶,1,1,临时资源（2）
,F-R-014,沼气发电机,蓝,资源,黄晶,2,2,临时资源（2）
,F-R-015,便携风轮,蓝,资源,黄晶,3,3,临时资源（2）
,F-R-016,迷你核岛,蓝,资源,黄晶,4,4,临时资源（2）
,F-R-017,单库潮汐电站,蓝,资源,蓝钢,1,1,资源（1）；被消耗时洗入牌堆。
,F-R-018,太阳能帆板,蓝,资源,蓝钢,2,2,资源（1）；被消耗时回到你的手牌。
,F-R-019,星核地热,蓝,资源,紫玉,2,3,资源（1）；位于资源区时，堆叠顶点数计算时+1。
,F-R-020,重力场发电机,蓝,资源,紫玉,3,4,位于红色牌手资源区：资源（1），临时资源（1）。位于蓝色牌手资源区：资源（2）。
,F-C-001,伊奎先锋,红,生物/伊奎/战士,翠石,1,1,无
,F-C-002,伊奎教军,红,生物/伊奎/战士,翠石,2,2,无
,F-C-003,蛮荒小队,红,生物/伊奎/战士,翠石,3,3,无
,F-C-004,加护骑士,红,生物/伊奎/战士,翠石,4,4,无
,F-C-005,山贼伊奎,红,生物/伊奎/战士,翠石,5,5,无
,F-C-006,欺诈师,红,生物/弗尔/,翠石,6,6,无
,F-C-007,F-C-007,红,生物/弗尔/,翠石,7,7,仅同点压制才可打出
,F-C-008,F-C-008,红,生物/弗尔/,翠石,8,8,仅同点压制才可打出
,F-C-009,F-C-009,红,生物/德谟/,翠石,9,9,不可压制打出
,F-C-010,F-C-010,红,生物/德谟/,翠石,10,10,不可压制打出
,F-C-011,F-C-011,红,生物/伊奎/,翠石,0,1,无
,F-C-012,F-C-012,红,生物/伊奎/,翠石,1,2,无
,F-C-013,F-C-013,红,生物/伊奎/,翠石,2,3,无
,F-C-014,F-C-014,红,生物/伊奎/,翠石,3,4,无
,F-C-015,F-C-015,红,生物/伊奎/,翠石,4,5,无
,F-C-016,F-C-016,红,生物/弗尔/,翠石,5,6,无
,F-C-017,F-C-017,红,生物/弗尔/,翠石,6,7,仅同点压制才可打出
,F-C-018,F-C-018,红,生物/弗尔/,翠石,7,8,仅同点压制才可打出
,F-C-019,F-C-019,红,生物/德谟/,翠石,8,9,不可压制打出
,F-C-020,F-C-020,红,生物/德谟/,翠石,9,10,不可压制打出
,F-C-021,F-C-021,红,生物/伊奎/,黄晶,2,1,协同（1）。
,F-C-022,F-C-022,红,生物/伊奎/,黄晶,3,2,协同（1），协同打出时衰退（1）。
,F-C-023,F-C-023,红,生物/伊奎/,黄晶,4,3,协同（1），协同打出时衰退（1）。
,F-C-024,F-C-024,红,生物/伊奎/,黄晶,5,4,衰退（1）或协同（1）
,F-C-025,F-C-025,红,生物/伊奎/,黄晶,6,5,衰退（1）或协同（1）
,F-C-026,F-C-026,红,生物/弗尔/,黄晶,6,6,衰退（1）或协同（1）
,F-C-027,F-C-027,红,生物/弗尔/,黄晶,7,7,衰退（1）
,F-C-028,F-C-028,红,生物/弗尔/,黄晶,8,8,衰退（2）
,F-C-029,F-C-029,红,生物/德谟/,黄晶,9,9,消耗[*]才可压制打出
,F-C-030,F-C-030,红,生物/德谟/,黄晶,10,10,消耗[*]才可压制打出
,F-C-031,F-C-031,红,生物/伊奎/,黄晶,1,1,增援（2）
,F-C-032,F-C-032,红,生物/伊奎/,黄晶,2,2,增援（1）
,F-C-033,F-C-033,红,生物/伊奎/,黄晶,3,3,压制：增援（1）
,F-C-034,F-C-034,红,生物/伊奎/,黄晶,4,4,压制：增援（1）
,F-C-035,F-C-035,红,生物/伊奎/,黄晶,5,5,跟随：增援（1）
,F-C-036,F-C-036,红,生物/弗尔/,黄晶,6,6,交流：增援（1）
,F-C-037,F-C-037,红,生物/弗尔/,黄晶,7,7,冲动：增援（1），否则衰退（1）
,F-C-038,F-C-038,红,生物/弗尔/,黄晶,8,8,冲动：增援（1），否则衰退（2）
,F-C-039,F-C-039,红,生物/德谟/,黄晶,9,9,冲动：可以打出，否则无法压制打出
,F-C-040,F-C-040,红,生物/德谟/,黄晶,10,10,冲动：可以打出，否则无法压制打出
,F-C-041,F-C-041,红,生物/伊奎/,蓝钢,2,1,堆叠中每有一张牌，压制打出计算时点数+1。
,F-C-042,F-C-042,红,生物/伊奎/,蓝钢,3,2,不可被跟随
,F-C-043,F-C-043,红,生物/伊奎/,蓝钢,4,3,追求：观察目标牌手手牌
,F-C-044,F-C-044,红,生物/伊奎/,蓝钢,5,4,冲动：弃掉一张牌，抓一张牌。
,F-C-045,F-C-045,红,生物/伊奎/,蓝钢,6,5,冲动：摧毁目标设施
,F-C-046,F-C-046,红,生物/弗尔/,蓝钢,6,6,不可被跟随
,F-C-047,F-C-047,红,生物/弗尔/,蓝钢,7,7,除非追求，否则衰退（1）
,F-C-048,F-C-048,红,生物/弗尔/,蓝钢,8,8,除非追求，否则衰退（2）
,F-C-049,F-C-049,红,生物/德谟/,蓝钢,9,9,仅你有5点以上资源点数时可以打出
,F-C-050,F-C-050,红,生物/德谟/,蓝钢,10,10,仅你有5点以上资源点数时可以打出
,F-C-051,F-C-051,红,生物/伊奎/,蓝钢,1,3,无
,F-C-052,F-C-052,红,生物/伊奎/,蓝钢,2,4,无
,F-C-053,F-C-053,红,生物/伊奎/,蓝钢,3,5,无
,F-C-054,F-C-054,红,生物/伊奎/,蓝钢,4,6,无
,F-C-055,F-C-055,红,生物/伊奎/,蓝钢,5,7,「红」：衰退（1）
,F-C-056,F-C-056,红,生物/弗尔/,蓝钢,6,8,「红」：衰退（2）
,F-C-057,F-C-057,红,生物/弗尔/,蓝钢,7,7,展示一张手牌才可压制打出
,F-C-058,F-C-058,红,生物/弗尔/,蓝钢,8,8,展示一张手牌才可压制打出
,F-C-059,F-C-059,红,生物/德谟/,蓝钢,9,9,不可压制打出，或协同（0）
,F-C-060,F-C-060,红,生物/德谟/,蓝钢,10,10,不可压制打出，或协同（0）
,F-C-061,F-C-061,红,生物/伊奎/,紫玉,2,1,压制：摧毁目标设施，抓一张牌。
,F-C-062,F-C-062,红,生物/伊奎/,紫玉,3,2,冲动：交换对手与你的一张手牌
,F-C-063,F-C-063,红,生物/伊奎/,紫玉,4,3,交流：弃置至多两张牌，再抓等量的牌。
,F-C-064,F-C-064,红,生物/伊奎/,紫玉,5,4,冲动:本轮对抗所有牌手都不能获得资源牌。
,F-C-065,F-C-065,红,生物/伊奎/,紫玉,6,5,[*]:弃掉所有手牌。
,F-C-066,F-C-066,红,生物/弗尔/,紫玉,7,6,若你有设施牌，则弃掉所有的手牌。
,F-C-067,F-C-067,红,生物/弗尔/,紫玉,7,7,除非堆叠中的牌少于3张，否则衰退（1）
,F-C-068,F-C-068,红,生物/弗尔/,紫玉,8,8,除非堆叠中的牌少于3张，否则衰退（2）
,F-C-069,F-C-069,红,生物/德谟/,紫玉,9,9,仅当所有资源区中没有资源牌可以打出
,F-C-070,F-C-070,红,生物/德谟/,紫玉,10,10,仅当所有资源区中没有资源牌可以打出
